id,title,code,subject,descr,tags,rating
10,Spreadsheet Modeling for Non-Dyson Majors,AEM 2011,AEM,"This course, while Excel based, will emphasize applied decision making in the business world. This introductory course is not simply a ""how to use Excel"" course, rather it covers the theory behind decision making and applying analytic tools like Excel to various business scenarios.  Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business.",AEM,5
11,The Business Case for Diversity and Inclusion,AEM 2015,AEM,"Diversity is everywhere. But research and experience show diversity alone does not produce better results. To reap the benefits of diversity, organizational leaders must understand and be prepared to address the challenges of our diverse, interconnected world. One academically proven way to maximize the benefits differences bring to organizations is to combine diversity with cultural intelligence (CQ), the capability to relate and work effectively in culturally diverse situations. This course is designed to cultivate a theoretical and practical understanding and application of the business case for diversity and inclusion, and help develop cultural intelligence for working successfully in today's diverse, globalized reality. This course combines conceptual and experiential approaches to diversity and inclusion in organizations through exercises, case studies, discussions, readings, videos, guest speakers, and group work.",D-AG|AEM,5
12,"Better Decisions for Life, Love and Money",AEM 2020,AEM,"Effective judgments and decisions are critical to success in every avenue of life. This course will explore research on the principles of sound judgment and decision making, and on the ways in which people's judgments and decisions are prone to bias and error. The course aims to improve students' critical thinking skills and to enable them to make better judgments and decisions in an increasingly complicated world. The course is taught by a team of psychologists and economists who draw on recent research in psychology and behavioral economics that can benefit the lives of students.",AEM,5
13,Work and Well-Being,AEM 2025,AEM,"What is the good life? Is it more than personal achievement, excellent health, and contentment? This course examines well-being in the context of work, with a focus on a sometimes-neglected aspect of the good life: doing good by contributing to the well-being of others and the planet. In this class, students will discover frameworks from social and moral psychology that help them identify their own ethical beacons, or what ""really matters"" (e.g., sustainability; reducing inequality), and develop a crucial skill in management: self-awareness. Through a combination of reflection and critical analysis of theory and research findings, students will build a practical understanding of a range of topics related to well-being at work, including meaning, authenticity, workplace culture, stress and burn-out, and organizational and personal values. At the same time, students will have the opportunity to envision a blueprint for their own future work as ethical leaders.",AEM,5
14,Introduction to Agricultural Finance,AEM 2050,AEM,"Introductory course which provides an overview of principles and practices of agricultural and development finance, from the perspectives of the business owner, lender, and policymaker. Topics include sources of capital, financing entry into agriculture, financial analysis, capital management, financial statements, credit instruments, loan analysis, and financial risk. Applications in farm investments, the Farm Credit System, crop insurance, and risk management.",SBA-AG|AEM,5
15,Financial Accounting,AEM 2210,AEM,"Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments.",AEM,5
16,Foundational Perspectives and Contemporary Issues in Entrepreneurship,AEM 2220,AEM,"This course aims to introduce students to foundational theories and contemporary issues pertaining to entrepreneurship. A primary objective of this course is to broaden students' perspectives on entrepreneurship and the myriad ways that entrepreneurial activity contributes to innovation, economic growth, and society. Students will be introduced to foundational thinking, leading-edge research and key frameworks that address central questions of entrepreneurship. In addition, this course will help students develop a deeper understanding of their own interest in entrepreneurship and how it will help them to advance their careers.",AEM,5
17,Financial Accounting For Dyson Majors,AEM 2225,AEM,"Comprehensive introduction to financial accounting concepts and applications. Focuses primarily on recording and communicating financial information for use by external users such as investors, creditors and regulators, and is intended to provide a basic understanding of the accounting cycle, elements of financial statements, Generally Accepted Accounting Principles, and financial statement interpretation. Topics include accounting for inventory, receivables, depreciation, bonds, equity, and cash flows.",AEM,5
18,Finance for Dyson Majors,AEM 2240,AEM,"Focuses on the mathematics of finance, valuation, and the economics of managerial decisions, corporate financial policy, risk management, and investments. Topics include the time value of money, bond and stock valuation, capital-budgeting decisions, financing alternatives, the cost of capital and the capital-structure decision, distribution policy, mergers and acquisitions and restructuring, options, forward and futures contracts, market efficiency and market anomalies, strategies of successful investors, and personal finance.",AEM,5
19,Finance,AEM 2241,AEM,"This course is a survey of topics in finance. It focuses on the mathematics of finance, valuation, the economics of managerial decisions, corporate financial policy, risk management, investments, and personal finance.",AEM,5
20,International Trade and Finance,AEM 2300,AEM,"One-semester introduction to international economic principles and issues. Begins by surveying key topics such as the elements of comparative advantage, tariff and nontariff barriers, and multilateral institutions. The second part of the course treats selected topics in international finance, including exchange rates, balance of payments, and capital markets. Discusses current issues such as the effects of trade liberalization, trade and economic growth, and instability in international capital markets. Designed as a less technical introduction to concepts developed at a more advanced level in AEM 4300 and ECON 4510-ECON 4520.",SBA-AG|AEM,5
21,Business and Economics of Food,AEM 2310,AEM,"This course will examine the food system from an economic and business perspective. In the first part of the course, students will study the key economic and regulatory elements that affect the production of food. The second section will focus on the business aspects of food and beverage processing, distribution and retailing, and the material in the final section will focus on a range of contemporary business and economic issues that are relevant to consumers of food and beverages.",AEM,5
22,Marketing for Dyson Majors,AEM 2420,AEM,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed. Students will complete a marketing plan.",AEM,5
23,Food and Consumer Packaged Goods Industry Dynamics,AEM 2480,AEM,"Covers merchandising principles and practices as they apply to food industry situations. Examines the various elements of merchandising such as buying, pricing, advertising, promotion, display, store layout, profit planning and control, and merchandising strategy. Considers the consequences of food industry trends and initiatives for other industry members, public policy makers, and consumers.",AEM,5
24,Strategy,AEM 2601,AEM,"This course analyzes the sources of firms' competitive advantage and develops the knowledge and skills necessary to be an effective strategy analyst. The course is grounded in microeconomic concepts taught in AEM 2600 in terms of discipline, and draws from corporate finance, marketing, human resource management and organization science. This course uses both lecture, discussion and case studies to encourage students to develop skills in formulating strategy in a practical context.",AEM,5
25,Management Communication,AEM 2700,AEM,"Management Communication is intended to help you think strategically about communication and aid you in improving your writing, presentation, and interpersonal communication skills as a future manager. We will look at a set of ""best practices"" or guidelines that have been derived from both research and experience, give you the opportunity to put those guidelines into practice, and provide you with feedback on your work to help you strengthen your abilities. More often than not, we will be using a workshop format that will rely heavily on discussion and in-class exercises.",AEM,5
26,Excursions in Computational Sustainability,AEM 2770,AEM,"Balancing environmental, economic, and societal needs for a sustainable future encompasses problems of unprecedented size and complexity. Computing and information science can play an important role in addressing critical sustainability challenges faced by present and future generations. The goal of the course is to introduce students to a range of sustainability challenges and to computational methods that can help address such challenges. Sustainability topics include sustainable development, biodiversity and wildlife conservation, poverty mitigation, food security, renewable resources, energy, transportation, and climate change. In the context of these sustainability topics, the course will introduce students to mathematical and computational modeling techniques, algorithms, and statistical methods. The course is at the introductory undergraduate level. Students are expected to have basic knowledge of probability theory and calculus.",SBA-AG|AEM,5
27,The Economics of Vice and Corruption,AEM 2810,AEM,"This writing course is designed to explore the important but largely undocumented role of vice and corruption in modern economies. A particular focus of the course will be learning how to identify activities, such as corruption and creating, that are designed to avoid detection. Techniques to uncover nefarious behavior are an important tool to understand the nature and extent of bad behavior and to prescribe policy treatment to minimize it. Students will write essays reflecting critically on weekly readings of recent literature on vice and deception.",AEM,5
28,VBA for Data Analysis and Business Modeling,AEM 2830,AEM,"This course is an introduction to programming with Excel Visual Basic for Applications (VBA) for students aiming to enter the world
of business analytics. Using business applied cases students will increase decision making efficiency and productivity through a
detailed understanding of VBA programming languages.",AEM,5
29,Grand Challenges Pre-Project Immersion,AEM 3000,AEM,"Part of the Grand Challenges program, the Pre-Project Immersion prepares students to work with a team during their senior year to solve a societal problem. The Immersion is an intensive learning experience with reinforcements throughout the semester. Students will build skills in working as part of a team, presenting to a client, reflecting on their experience, and demonstrating cultural humility.",AEM,5
30,Explorations in Analytic Modeling,AEM 3030,AEM,"Explorations in Analytic Modeling will be developed as a deeper exploration and model based approach to quantitative decision making within a spreadsheet platform. Applied decision making using primarily Microsoft Excel as a business analytics tool will focus on using applied cases requiring various financial and other models. As the course explores models, emphasis will be placed on the exploration and application of the tool to enhance decision making and improve outcomes. This data-driven course will move the student into the most complex functionality available in the Excel platform. Key topics will include: data management, data visualization, financial modeling, forecasting, optimization, pivot tables, and simulation. The course will also employ macro recording with introductory visual basic for applications programming.",AEM,5
31,Dairy Markets and Policy,AEM 3040,AEM,"This course is a survey of topics related to: 1) the structure and performance of U.S. dairy markets; and 2) federal and state policies that regulate market activities. This is not a course in how to market or sell farm milk or dairy products, although we will discuss some topics related to marketing and dairy demand analysis. Policy sections emphasize understanding why regulations were created and how they impact market activity, as well as describing what they do.",AEM,5
32,Practitioner's Overview of Securities Markets and Asset Management,AEM 3060,AEM,"A broad overview of various aspects of the Fixed Income and Equities Markets and the role of Investment Banks. Topics, amongst others, will include: Securities Sales and Trading, Fiscal and Monetary Policy effects on Markets, Asset Management, Private Equity and Leveraged Buyouts, Mergers and Acquisitions, and Risk Management. Course will focus on real life practices and may include guest speakers, role playing and trading simulations.",AEM,5
33,Business Statistics,AEM 3100,AEM,"Focuses on techniques used to analyze data from marketing research, business, and economics. Topics include experimental design and ANOVA, contingency-table analysis, quality-control methods, time-series analysis, and forecasting. Also includes brief introductions to nonparametric methods and multivariate analysis. Involves a research project designed to give experience in collecting and interpreting data.",AEM,5
34,Introduction to Branding and Brand Management,AEM 3120,AEM,"Branding has become one of the most important aspects of business strategy. Developing brand identity and strategy are critical steps in successful marketing of a product. Developing a brand strategy requires an understanding of: what is branding, how to develop brand equity, how to reach the target audience, the importance of consistent communications and brand planning. This course includes the concepts of brand, brand equity and strategic brand management. Topics covered include Brand Equity, Consumer Communications, Reaching Consumers and Brand Planning. Post this class participants will understand the importance of building brand equity and communicating throughout all consumer touch points. Class work includes a combination of case studies, lectures, and class discussions. Topics discussed will relate to real life business situations.",AEM,5
35,Marketing Strategy,AEM 3125,AEM,"A strong business leader has to make smart, strategic marketing decisions, create and present a plan to get people on board, and then execute. Through business cases and a marketing simulation game, this course will teach how to effectively make these steps in a variety of industries. Students will get to pitch their version of what they think a company should do strategically by analyzing cases and bringing their ideas to class. Additionally, through the marketing simulation game, students will also get a chance to make actual strategic decisions as a business leader and respond to market reactions in an evolving and interactive business simulation environment.",AEM,5
36,Ethics in Business and Organizations,AEM 3205,AEM,"This course will survey ethical problems that arise in business and other organizational contexts, and develop theoretical resources
to help address them.",AEM,5
37,Managerial Accounting,AEM 3230,AEM,"This course provides an introduction to the basic concepts, analyses, uses, and procedures of accounting and control used by internal company managers when they are faced with planning, directing, controlling, and decision-making activities in their organization. Topics covered focus on the relationship between strategy and decision-making and include product and service costing, budget setting, decision-making, profitability analysis, pricing, investment analysis, management control systems, and performance measurement.",AEM,5
38,The Business Laboratory and New Venture Management,AEM 3251,AEM,"This course is a team oriented approach to allow students to understand through a simulation what happens when a new business is launched with funding in place. During the course of the implementation they will be presented with obstacles that often occur in ""real-life "" situations and learn how to develop creative ways to solve and overcome those obstacles. By the end of the term, it is expected that each team will have experienced (through simulation) managing a new venture.",AEM,5
39,Cooperative Business Management,AEM 3260,AEM,"An evaluation of the fundamental principles, structure, finance, management and governance associated with the cooperative business model, with a focus on agricultural cooperatives. Analyses of the cooperative business organization within the modern economy are emphasized through a mix of lectures, guest speakers, case study discussions and, and experiential learning projects with cooperative businesses.",AEM,5
40,Corporate Financial Reporting II,AEM 3370,AEM,"Continuation of the in-depth study of accounting theory, generally accepted accounting principles, and the techniques involved in measuring, recording, summarizing, and reporting financial data for business organizations. Learn the GAAP accounting for revenue, investments, pensions, taxes, accounting changes, and statement of cash flows. Understand accounting alternatives within GAAP and accounting alternatives to GAAP for the topics covered so that students are prepared to understand and use future changes in GAAP. Course objectives will be achieved by a combination of lectures and analyzing and discussing articles from the financial press and cases that are based on actual financial statements.",AEM,5
41,Social Entrepreneurship Practicum: Anabel's Grocery,AEM 3385,AEM,"AEM 3385 is a hands-on learning experience that serves as an entry point for new Anabel's Grocery team members, introducing them to social entrepreneurship, food justice, systems thinking, collaborative leadership practices, and the day-to-day operations of Anabel's. No prerequisites and no previous experience with Anabel's required. The course is open to students regardless of major. We are looking for students with diverse interests who are passionate about making healthy food accessible to everyone through practical actions that further racial, economic, and ecological justice. This experiential-based course meets once a week. It includes small group discussion sessions and a practicum commitment of about 4 hours per week.",AEM,5
42,Research Methods in International Development,AEM 3390,AEM,"This is a research methods course that uses basic statistics and quantitative techniques to analyze selected topics in international development. The aim of this course is to expose students to the various methodologies used by researchers in the field of international development: (i) core concepts such as poverty and inequality measurement (use of basic statistics); distributive justice (use of basic game theory) and governance issues in developing economies (use of basic public economics/welfare theorems/voting theories) and (ii) study of specific topics that are at the frontier of international development research where students will be required to gather data, design surveys and use basic econometrics tools in their assignments.",AEM,5
43,Financial Statements Analysis,AEM 3520,AEM,"The course will focus on developing a framework for analyzing financial statements to make business decisions. The framework is intended to enhance the ability to qualitatively and quantitatively assess financial information. Goals of the course include learning to read financial statements for relevant information, understanding the impact of a business' accounting choices and estimates, analyzing financial ratios and cash flow measures and methods for valuation of a business. Cases are incorporated in class discussions and assignments in order to illustrate concepts and allow students to put into practice the tools presented.",AEM,5
44,Customer Analytics and Strategy,AEM 4015,AEM,"Aimed at students who are interested in pursuing activities in customer strategy and analytics built around the notion of customer centricity. The primary objective of this course is to provide students with how customer relationship management (CRM) can help accomplish strategic initiatives, improve firm profitability and build lasting competitive advantage. Students will be exposed to the practical side of CRM through case studies and hands-on exercises. This course is particularly relevant for students interested in careers in consulting, strategy, marketing and retailing, as well as for entrepreneurs.",AEM,5
45,Risk Simulation and Monte Carlo Methods,AEM 4060,AEM,"This is a computer-based course that deals with the concepts of randomness and risk in financial management, capital budgeting, stock valuations, derivatives, and investment portfolios. The focus of the course is on applying realistic probability using Monte Carlo simulation to solve a variety of problems in finance.",AEM,5
46,Environmental Finance and Markets,AEM 4090,AEM,"This course considers the ways in which the tools of finance are used to address environmental challenges and how market mechanisms can be used to ensure the long-term sustainability of ecosystems. Following an introduction to the prevailing environmental policy framework, the course explores the uses of such products as debt-for-nature swaps, green bonds, structured notes, and environmental impacts bonds, and illustrates both their potential and their limitations through a review of market transactions. The course also explores how investment decisions can influence environmental outcomes and the role that sustainable asset management strategies can have in achieving desired conservation objectives.",AEM,5
47,Behavioral Economics and Managerial Decisions,AEM 4140,AEM,"Behavioral economics integrates psychology and economics by identifying systematic anomalies in decision making. These are now recognized to be an important source of error in business decisions, and they provide the foundation for both behavioral marketing and finance. The course compares rational choice theory with behavior both in lecture and through a series of economics experiments in which students face situations that are likely to lead to anomalies such as ""the winner's curse,"" the status quo bias, hyperbolic discounting, and bias in assessing risks. Students have the opportunity to evaluate their own decision making.",AEM,5
48,Strategic Pricing,AEM 4160,AEM,"This quantitative course explores various pricing strategies by taking into consideration the role of consumer behavior, economics, statistics, and management science. Topics include: product tying and bundling, peak load pricing, price matching, warranty pricing, advanced booking, and the 99-cent pricing perceptions.",AEM,5
49,"Futures, Options and Financial Derivatives",AEM 4210,AEM,Covers the pricing of derivatives and how derivatives can be used for the purpose of risk management and speculation. A portion of this course involves the use of spreadsheet or other computer programs.,AEM,5
50,Systems and Analytics in Accounting,AEM 4225,AEM,"An investigation of the systems and software that capture and store accounting and economic information, and of the tools and techniques that support a robust use of that data for the benefit of individual enterprises and greater society. Topics include ""Big Data"", Data Visualization, Optimization Tools and Accounting Support Systems and Databases. Students taking this course at the graduate level will have a semester project related to the extension of the utility of large data sets beyond their initial purposes.",AEM,5
51,Fixed-Income Securities,AEM 4260,AEM,"Focuses on fixed-income securities including corporate bonds, default-free bonds, and floating rate notes. Other topics include related financial instruments such as forwards and futures on fixed-income securities, interest rate swaps, bond options, and mortgage-backed securities. In addition to the analysis of specific types of fixed-income securities, there is an examination of the tools used in bond portfolio management.",AEM,5
52,Valuation of Capital Investment,AEM 4280,AEM,"This course is about the analysis of financial information for making decisions to invest in businesses. The primary focus is on quantitative stock selection and equity (share) valuation. Various valuation models will be examined in detail and applied in cases and projects involving listed companies. First, the issue of market efficiency will be explored. Second, important quantitative stock selection methods will be examined. Third, discounted cash flow models will be examined. This include models of shareholder value, the analysis of profitability, growth and valuation generation in a firm, forecasting earnings and cash flows, pro-forma analysis for strategy and planning, analysis of risk, and the determination of price/earnings and market-to-book ratios. Advanced topics on valuation including valuation by multiples and earnings management will then be discussed.",AEM,5
53,International Trade Policy,AEM 4300,AEM,"Examines the economic principles underlying international trade and monetary policy, and the policies, practices, and institutions that influence trade and foreign exchange markets. Also emphasizes applications to current topics in international trade policy, to trade in primary commodities, and to both developed and developing countries.",AEM,5
54,Economics of Developing Countries,AEM 4315,AEM,"The goal of this course is to expand students' understanding of the economics of developing countries. We will address questions like: why do some countries grow quickly and others slowly? What factors prevent countries, households, and individuals from escaping the cycle of poverty? How do policymakers balance economic growth and environmental sustainability? Why don't financial markets work well in most developing countries, and do informal institutions fill the gap? How do we analyze the challenges facing small-scale farming households, and how do decisions by those households influence migration, labor markets, and the growth of industry? How do we evaluate policies and programs in order to understand what works for development? The approach in this course will be primarily microeconomic, although a basic understanding of macroeconomics is important for some topics. Emphasis will be on theory, real-world examples, and reading and interpreting research and policy papers.",AEM,5
55,Political Economy of the WTO,AEM 4350,AEM,"The politics of the WTO and trade policy are explored. Examines what the WTO is, how it operates, how much power it really has, why it was created, and incentives for governments to cooperate. Also explores how WTO rules affect domestic politics and foreign policy goals and how WTO rules and agreements are enforced. Students also debate the effect of trade on growth and poverty.",AEM,5
56,Healthcare Entrepreneurship: Perspectives and Controversies,AEM 4355,AEM,No description available.,AEM,5
57,Entrepreneurial Strategy for Technology Ventures,AEM 4380,AEM,"This course explores the concepts and tools needed to manage a technology-based entrepreneurial business. Through this course, students will develop an ability to think strategically about the fundamental issues facing technology ventures, including how to choose markets and business models, when and how to compete with incumbent firms, how to leverage IP, and how to identify and develop the resources and capabilities required for success. This is not a course in how to start a business. Instead, the emphasis is on the acquisition and application of the analytical tools critical for the development of an entrepreneurial strategy. This course is relevant to students interested in founding or working in technology ventures, as well as students interested in related careers in consulting and venture capital.",AEM,5
58,Technology Strategy,AEM 4390,AEM,"This course introduces the fundamental strategy concepts and tools that enable firms to manage technological innovations for competitive advantage. It does so by first considering the sources of technological change, how technologies create value for firms, and how to manage and motivate knowledge workers. It then examines the various mechanisms for extracting value from technologies, both legal (e.g., patents, trade secrecy, etc.) and strategic (e.g., lead time, complementary assets, etc.). We will explore the fundamentals of technology strategy through readings and case studies in both entrepreneurial and established firms across a range of technology-based industries. This course is designed for students who intend to pursue careers in consulting, new product development, entrepreneurship, and finance where technology and intellectual property are important sources of competitive advantage.",AEM,5
59,Marketing Research,AEM 4410,AEM,"This course provides a fundamental understanding of marketing research methods typically employed by firms. It is primarily aimed towards the manager who must decide the direction of research activities and focuses on how one should design research, construct questionnaires, and collect and analyze data. The course will primarily focus on the interpretation and use of results rather than mathematical derivations. Students will be exposed to the practical side of marketing research through problem sets and projects.",AEM,5
60,Research and Strategy in Emerging Markets,AEM 4421,AEM,"The course complements the Student Multidisciplinary Applied Research Team (SMART) Program administered by CIIFAD. The goal of the course is to offer students a unique learning and service team experience, working with entrepreneurs and civil society organizations in emerging markets and economically disadvantaged communities. Students will learn about the challenges and opportunities of doing business and implementing development interventions in emerging markets. During the semester, students explore theories of economic and community development, analyze the projects on which they worked, write up case studies, and develop strategic recommendations for the enterprises or organizations they have partnered with.",CA-AG|D-AG|SBA-AG|AEM,5
61,Economics of Food and Malnutrition,AEM 4485,AEM,"This course focused on the economics of food and malnutrition from the perspective of individuals and households; that is, a micro-economic approach. Topics include characteristics and constraints associated with food production in both developed and developing countries; the determinants of household food security; the social and economic causes and consequences of undernutrition; the social and economic causes and consequences of obesity; intervention design to reduce food insecurity, undernutrition and obesity.",D-AG|SBA-HE|AEM,5
62,Resource Economics,AEM 4500,AEM,"This course introduces students to the economics of renewable and nonrenewable natural resources. Topics covered include the valuation and use of land; the extraction and management of nonrenewable resources such as minerals, rare earth elements, and energy resources; renewable and nonrenewable sources of energy; forest management; water and groundwater economics, management, and conservation; and sustainability. Students will learn how to use dynamic models to analyze decision-making over time, and to solve dynamic optimization problems analytically and numerically. Students will also learn how to analyze and explain the intuition and logic behind the theory and concepts. Students will apply the methods, quantitative tools, and concepts to analyze natural resource issues at global and local levels; to introspectively reflect on their own lives and future aspirations; and to draw lessons and implications for leadership, management, and policy. A solid background in calculus is required.",SBA-AG|AEM,5
63,Environmental Economics,AEM 4510,AEM,"This class will focus on the role of the environment in the theory and practice of economics. It will make use of microeconomic analysis at the intermediate level and will incorporate real-world examples. It examines market failure, externalities, benefit-cost analysis, nonmarket valuation techniques, and cost-effective policy instruments.",SBA-AG|AEM,5
64,Federal Income Taxation of Real Estate Ventures,AEM 4534,AEM,"This course presents the tax skills necessary to make business, and personal, decisions as it relates to real estate ventures. Emphasis is placed on such areas as acquiring ownership of real property, the various entity structures that a real estate venture can create, and the operational rules surrounding a real estate venture, including the sale and/or exchange of real estate. In addition, securitized real estate investments, such as limited/master limited partnerships and real estate investment trusts (REITS), will be introduced in the later part of course. Practical application of the tax law will be emphasized with proper consideration placed on the historical, economic and political perspectives of the Internal Revenue Code (IRC). The content and design of this course is, only, suitable for advanced undergraduate students and graduate students.",AEM,5
65,Economics of Advertising,AEM 4550,AEM,"This is an analytical and quantitative course focusing on advertising strategy. How does advertising affect product demand and competitive responses from rival products? Why and how do consumers respond to advertising? What is their sensitivity to advertising expenditures, if any? Can we measure that sensitivity? These are some of the questions analyzed during this course.",AEM,5
66,"Federal Income Taxation of Business Entities, Estates and Trusts",AEM 4560,AEM,"This course presents the tax skills necessary to make business decisions regarding Corporations, Partnerships, Estates and Trusts. Emphasis is placed on such areas as organization and capital structure, earnings and profits, dividend distribution, redemptions, liquidations and reorganization of corporations. In addition, flow through entities such as partnerships and S Corporations will be studied along with estates, trusts, family tax planning and exempt entities. Practical application of the tax law will be emphasized with proper consideration placed on the historical, economic and political perspectives of the Internal Revenue.",AEM,5
67,Predictive Analytics for Business Strategy,AEM 4600,AEM,"The purpose of this course is to teach students how data analysis can inform strategy, within a framework centered on logical reasoning and practical communication. In doing so, we will develop the analytical tools and hands-on experience with data and economic models to optimally utilize information in decision-making, often in the context of economic consulting. The focus of the material will be on a subdivision of predictive analytics, called active prediction, which is most appropriate when evaluating business strategies. We will explore the implications and interrelationships between the use of prediction, business processes, and firm strategy. In addition, students will develop presentation and communication skills, particularly with regard to quantitative outputs, and learn valuable, targeted computer programming skills. Finally, students will learn the basics of identification in order to better understand which data is most useful to collect when answering a given empirical question.",AEM,5
68,Digital Platform Strategy,AEM 4615,AEM,"Business platforms are a set of business and technology building blocks that serve to facilitate the creation of complementary products and services. They are an essential feature of modern economies, particularly among products and services created by software. The emphasis of this course is on how to create, grow, gain value and capture market share from platforms. Course content will draw concepts from network effects, information asymmetry, pricing, and game theory. Students will apply these concepts to make decisions on how to manage platforms in case studies drawing from social media, entrepreneurship, enterprise software, and mobile services, among others. The course will be useful for students interested in founding new businesses, managing technology ventures and investing.",AEM,5
69,Business Simulation,AEM 4660,AEM,"Course is required for completing the Dyson Business Minor for Engineers, but is open to all majors. By participating in a business simulation, students get experience applying key business principles, such as finance, accounting, marketing, economics and management in dynamic marketing settings. Participants make team-based and individual decisions based on imperfect information and aggressive time constraints. Through analysis, coaching and facilitation, the experience leads to learning the ways specific business decisions influence firm performance in a dynamic marketplace.",AEM,5
70,Business Management Simulation,AEM 4665,AEM,"The Business Management Simulation (BMS) is a course in which each student works as part of a team to manage a simulated manufacturing company. Each team is responsible for making yearly decisions in four broad areas: sales, marketing, operations, and finance. Depending on class size, there will be one or two different industries, each operating in its own competitive space, and there will be four or five companies in each industry. Your competition, therefore, is limited to the other three or four teams in your industry. You will all start in the same position, competing with one another to gain market share, generate revenue, and increase profitability. Performance is measured by the relative success of each firm in creating shareholder value by paying dividends and increasing share price.",AEM,5
